subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,17,17.2004,8.1752,-0.0245,0.502,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic,4edges,210,210.3836,34.1267,-0.0112,0.5081,False
4,Jalāl + Jalāl + Jamāl + Kamāl-ontological,4edges,8,8.3021,5.2983,-0.057,0.5139,False
4,Jalāl + Jalāl + Jamāl + Kamāl-ontological,3edges,67,68.3005,20.0211,-0.065,0.5145,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,11,11.645,7.3017,-0.0883,0.5157,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic,3edges,297,290.1468,41.6988,0.1644,0.5165,False
4,Jalāl + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,16,17.2856,10.2151,-0.1259,0.5185,False
4,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,5edges,3,2.975,2.312,0.0108,0.5196,False
4,Jalāl + Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,15,15.9826,8.9557,-0.1097,0.5245,False
4,Jalāl + Jalāl + Jamāl + Jamāl,4edges,6,6.5702,4.9502,-0.1152,0.528,False
4,Disputed + Jalāl + Jalāl + Kamāl-ontological,5edges,10,10.2163,4.4553,-0.0485,0.5298,False
4,Disputed + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,5edges,3,2.9837,2.2294,0.0073,0.5343,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,316,315.5767,42.6306,0.0099,0.5348,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,2,2.6498,2.8215,-0.2303,0.5412,False
